name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;193;0;50;3073;949;3073;903;0
header;54;178;54;222;1680;222;1680;178
A;854;239;854;269;880;269;880;239
B;859;909;859;937;881;937;881;909
A;306;1201;306;1208;312;1208;312;1201
A;549;1214;549;1222;557;1222;557;1214
A;444;1215;444;1221;451;1221;451;1215
A;471;1216;471;1222;477;1222;477;1216
A;496;1216;496;1223;503;1223;503;1216
A;576;1216;576;1224;583;1224;583;1216
A;522;1217;522;1223;530;1223;530;1217
A;836;1389;836;1396;843;1396;843;1389
C;859;1581;859;1609;880;1609;880;1581
A;644;1896;644;1898;644;1898;644;1896
B;710;1925;710;1942;723;1942;723;1925
A;119;1977;119;1985;127;1985;127;1977
A;632;2013;632;2020;638;2020;638;2013
A;415;2105;415;2112;422;2112;422;2105
D;866;2233;866;2260;887;2260;887;2233
A;836;2235;836;2260;850;2260;850;2235
A;635;2334;635;2351;643;2351;643;2334
A;843;2564;843;2572;851;2572;851;2564
A;773;2695;773;2719;787;2719;787;2695
A;749;2703;749;2709;756;2709;756;2703
B;442;2890;442;2905;463;2905;463;2890
B;103;2892;103;2906;122;2906;122;2892
A;623;2931;623;2932;625;2932;625;2931
