name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;835;0;835;3079;1445;3079;1422;0
header;59;89;59;129;1689;129;1689;89
A;858;151;858;180;884;180;884;151
A;1272;208;1272;223;1280;223;1280;208
D;835;436;835;451;843;451;843;436
B;1088;756;1088;771;1097;771;1097;756
A;1415;784;1415;784;1415;784;1415;784
B;861;829;861;857;883;857;883;829
B;1133;986;1133;1002;1143;1002;1143;986
C;1251;1078;1251;1097;1268;1097;1268;1078
C;864;1509;864;1537;885;1537;885;1509
B;1081;2179;1081;2198;1096;2198;1096;2179
D;865;2187;865;2214;887;2214;887;2187
B;1402;2354;1402;2370;1423;2370;1423;2354
D;1284;2410;1284;2426;1293;2426;1293;2410
A;1382;2410;1382;2426;1391;2426;1391;2410
B;1303;2685;1303;2703;1317;2703;1317;2685
D;1005;2735;1005;2751;1013;2751;1013;2735
